[rosmaster.main][INFO] 2021-02-02 07:51:19,501: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-02-02 07:51:19,501: Starting ROS Master Node
[xmlrpc][INFO] 2021-02-02 07:51:19,502: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2021-02-02 07:51:19,502: Master initialized: port[11311], uri[http://a8c73a574f9b:11311/]
[xmlrpc][INFO] 2021-02-02 07:51:19,502: Started XML-RPC server [http://a8c73a574f9b:11311/]
[xmlrpc][INFO] 2021-02-02 07:51:19,503: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-02-02 07:51:19,542: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-02-02 07:51:19,545: +PARAM [/roslaunch/uris/host_a8c73a574f9b__37511] by /roslaunch
[rosmaster.master][INFO] 2021-02-02 07:51:20,054: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-02-02 07:51:20,054: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-02-02 07:51:20,058: +SERVICE [/rosout/get_loggers] /rosout http://a8c73a574f9b:41255/
[rosmaster.master][INFO] 2021-02-02 07:51:20,059: +SERVICE [/rosout/set_logger_level] /rosout http://a8c73a574f9b:41255/
[rosmaster.master][INFO] 2021-02-02 07:51:20,060: +PUB [/rosout_agg] /rosout http://a8c73a574f9b:41255/
[rosmaster.master][INFO] 2021-02-02 07:51:20,064: +SUB [/rosout] /rosout http://a8c73a574f9b:41255/
[rosmaster.master][INFO] 2021-02-02 07:51:20,808: +PUB [/rosout] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:51:20,816: +SERVICE [/as/get_loggers] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:51:20,820: +SERVICE [/as/set_logger_level] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:51:20,827: +PUB [/test_action_server/status] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:51:20,831: +PUB [/test_action_server/result] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:51:20,836: +PUB [/test_action_server/feedback] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:51:20,845: +SUB [/test_action_server/goal] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:51:20,851: +SUB [/test_action_server/cancel] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:51:20,904: publisherUpdate[/rosout] -> http://a8c73a574f9b:41255/ ['http://a8c73a574f9b:33065/']
[rosmaster.master][INFO] 2021-02-02 07:51:20,908: publisherUpdate[/rosout] -> http://a8c73a574f9b:41255/ ['http://a8c73a574f9b:33065/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-02-02 07:52:24,282: -SUB [/test_action_server/goal] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:52:24,283: -SUB [/test_action_server/cancel] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:52:24,283: -PUB [/test_action_server/result] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:52:24,283: -PUB [/rosout] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:52:24,284: -PUB [/test_action_server/status] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:52:24,284: -PUB [/test_action_server/feedback] /as http://a8c73a574f9b:33065/
[rosmaster.master][INFO] 2021-02-02 07:52:24,285: -SERVICE [/as/set_logger_level] /as rosrpc://a8c73a574f9b:39819
[rosmaster.master][INFO] 2021-02-02 07:52:24,285: -SERVICE [/as/get_loggers] /as rosrpc://a8c73a574f9b:39819
[rosmaster.master][INFO] 2021-02-02 07:52:24,360: publisherUpdate[/rosout] -> http://a8c73a574f9b:41255/ []
[rosmaster.master][INFO] 2021-02-02 07:52:24,362: publisherUpdate[/rosout] -> http://a8c73a574f9b:41255/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-02-02 07:52:25,064: -PUB [/rosout_agg] /rosout http://a8c73a574f9b:41255/
[rosmaster.master][INFO] 2021-02-02 07:52:25,064: -SUB [/rosout] /rosout http://a8c73a574f9b:41255/
[rosmaster.master][INFO] 2021-02-02 07:52:25,066: -SERVICE [/rosout/get_loggers] /rosout rosrpc://a8c73a574f9b:56977
[rosmaster.master][INFO] 2021-02-02 07:52:25,067: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://a8c73a574f9b:56977
[rosmaster.main][INFO] 2021-02-02 07:52:25,081: keyboard interrupt, will exit
[rosmaster.main][INFO] 2021-02-02 07:52:25,081: stopping master...
[rospy.core][INFO] 2021-02-02 07:52:25,081: signal_shutdown [atexit]
